SNAPSHOT_ID,PERFORMANCE_MONTH,REGION,STRATEGY_MODE,OTIF_PCT,FILL_RATE_PCT,NET_SALES_GROWTH_PCT,LEAD_TIME_DAYS,ORDER_FLEXIBILITY_SCORE,FORECAST_MAPE_PCT,FORECAST_BIAS_PCT,NPI_COUNT,GROSS_MARGIN_PCT,EBITDA_MARGIN_PCT,COGS_USD,SGA_USD,OEE_PCT,FIRST_PASS_YIELD_PCT,PURCHASING_PRICE_INDEX,ROCE_PCT,FREE_CASH_FLOW_USD,CASH_CONVERSION_CYCLE_DAYS,DIOH_DAYS,DSO_DAYS,DPO_DAYS,ASSET_TURNS,CYCLE_STOCK_VALUE,SAFETY_STOCK_VALUE,PIPELINE_STOCK_VALUE,ANTICIPATION_STOCK_VALUE,STRATEGIC_STOCK_VALUE,TOTAL_INVENTORY_VALUE,NOPAT_USD,WORKING_CAPITAL_DELTA_USD,FIXED_ASSET_DELTA_USD,CAPITAL_EMPLOYED_USD,EVA_USD
11,2023-01-01,LATAM,MARGIN,93.7,91.33,9.71,11.7,88.9,24.5,2.1,3,41.54,20.27,62378530.31,13720180.86,80.6,93.6,100.51,18.45,10324274.8,54.0,45.2,56.7,39.9,2.85,7820345.73,4242076.81,6503688.51,3272212.9,4962020.57,26800344.51,12764129.61,1723029.3,716825.5,93632141.61,3400915.45
12,2023-01-01,LATAM,CASH,88.36,85.0,5.78,13.7,71.8,15.5,3.7,1,38.85,18.93,63245915.04,18877041.83,85.0,97.5,97.64,20.01,9414162.13,33.4,71.3,25.0,65.7,3.31,12896181.43,3638442.72,4966521.83,837065.97,3198115.53,25536327.48,8509150.13,-1428033.27,523021.26,84682680.66,40882.06
13,2023-02-01,NORTH_AMERICA,GROWTH,96.68,92.65,7.31,13.0,94.8,18.5,-0.3,8,29.72,13.99,67501062.95,19621725.48,77.1,96.9,92.79,13.96,7827117.61,55.8,53.1,29.2,60.3,1.66,5563032.76,3831725.41,2705157.48,3226182.3,3984179.52,19310277.47,8748705.8,1474396.51,-552808.32,91428483.45,-394142.55
14,2023-02-01,NORTH_AMERICA,MARGIN,86.3,85.0,4.25,13.9,79.5,12.5,1.7,2,42.44,20.35,74676117.29,19497999.13,87.9,94.8,101.56,21.65,11718765.97,63.2,58.7,37.5,34.0,1.76,8095276.16,8696565.14,6108387.04,1377595.57,4643708.74,28921532.64,12257195.08,-327027.85,865456.97,104536607.84,1803534.3
15,2023-02-01,NORTH_AMERICA,CASH,93.09,88.24,2.04,12.2,70.7,21.2,6.1,2,38.3,18.29,73169551.75,15201635.01,64.2,98.3,104.48,20.15,12524755.91,38.6,57.4,25.0,45.1,2.74,11181282.4,5507139.03,2681345.55,3311139.78,3081230.8,25762137.57,13521815.0,243751.89,753307.21,102076273.55,3314187.65
16,2023-02-01,EUROPE,GROWTH,99.0,95.9,8.56,12.2,81.8,16.5,-1.0,3,26.22,12.24,57204368.56,10758633.28,82.0,92.4,96.09,13.85,8403532.1,46.9,42.6,35.6,38.0,2.51,9591357.56,9860228.03,4955708.56,2008747.52,3533603.42,29949645.09,6288797.22,-1392389.23,-722345.65,85121833.56,-2223386.14
17,2023-02-01,EUROPE,MARGIN,91.43,88.9,0.55,17.1,81.6,22.3,-1.0,3,40.94,19.61,74186038.39,17482596.9,90.2,86.6,96.0,17.56,7394275.81,39.0,52.8,39.6,39.4,2.15,5817590.32,9115050.37,7525234.4,991845.12,2107510.59,25557230.8,6845210.19,-518111.59,-30954.03,88373972.93,-1992187.1
18,2023-02-01,EUROPE,CASH,90.77,85.12,7.92,13.1,75.9,18.6,0.0,2,44.17,21.22,72363184.23,14316595.46,74.1,86.5,103.47,20.66,6531639.36,43.9,54.0,41.9,52.7,2.02,12891712.39,6489095.39,2521521.73,2800295.84,3347364.47,28049989.82,6275803.03,-547670.81,291834.48,91351036.23,-2859300.6
19,2023-02-01,ASIA_PACIFIC,GROWTH,98.23,95.25,3.68,10.8,82.0,14.7,2.1,3,29.84,14.06,62763093.16,15076103.79,86.1,92.3,104.23,14.32,7404356.05,36.7,61.4,51.5,30.0,2.2,10716126.89,4959853.66,6616957.6,1470393.95,2294716.95,26058049.04,7424097.32,442480.17,-422738.89,84593472.99,-1035249.97
20,2023-02-01,ASIA_PACIFIC,MARGIN,89.34,85.9,11.33,15.6,79.8,16.4,1.2,3,41.58,19.92,54193171.3,17952673.12,88.4,89.3,100.13,16.29,7730060.57,45.6,64.9,47.1,51.0,2.75,6812330.66,3465473.87,6446723.9,2942252.87,4367315.11,24034096.4,7016273.2,-1342936.81,629149.44,86546237.71,-1638350.57
21,2023-02-01,ASIA_PACIFIC,CASH,88.3,85.0,4.06,15.5,90.5,16.7,-0.9,2,41.45,19.86,59351662.03,12484891.4,85.7,96.9,106.98,19.04,11634986.81,50.1,35.4,42.2,39.4,3.32,11200727.56,6734227.64,7363355.5,3755718.48,1606699.52,30660728.7,12439462.93,279558.74,524917.37,81341297.39,4305333.19
22,2023-02-01,LATAM,GROWTH,95.19,91.68,8.43,10.8,85.2,12.3,6.8,5,25.84,12.05,68343627.06,10181101.84,73.9,94.2,105.52,18.51,13067404.71,31.1,73.4,38.7,45.7,3.11,9620058.04,9630983.38,2920108.42,2986917.09,3023554.72,28181621.64,13721239.09,260532.73,393301.65,117284731.3,1992765.96
23,2023-02-01,LATAM,MARGIN,94.29,91.18,10.65,16.4,70.3,12.9,3.6,3,29.13,13.7,54225710.61,11763869.87,78.0,94.5,96.66,15.33,8599506.32,49.5,45.6,45.4,48.9,1.88,8469532.02,8162508.74,4713307.65,1613089.9,2809758.06,25768196.37,9983677.73,1659383.6,-275212.2,96757017.98,307975.93
24,2023-02-01,LATAM,CASH,93.2,89.32,6.68,15.5,80.2,11.4,4.8,0,35.57,16.92,63222882.41,14007630.61,88.2,91.9,96.41,16.39,11145119.55,41.0,53.4,44.0,39.5,1.98,10648411.33,3459960.48,6653165.7,2481869.18,3097561.08,26340967.76,10596403.31,-1272287.48,723571.24,86209609.84,1975442.33
25,2023-03-01,NORTH_AMERICA,GROWTH,96.28,92.72,2.14,15.3,92.3,15.4,5.1,5,33.13,15.56,76890074.56,10130019.24,67.8,99.0,89.67,16.16,8386085.62,65.0,57.5,39.2,44.6,3.24,13302198.65,5780284.71,6008510.82,1619937.18,2172590.92,28883522.28,5855085.31,-1893871.18,-637129.13,88315450.21,-2976459.71
26,2023-03-01,NORTH_AMERICA,MARGIN,93.2,88.66,2.82,13.6,76.9,13.1,8.0,2,45.86,21.93,69004346.59,12578876.85,83.7,94.8,104.99,15.94,4404571.65,64.7,67.2,25.3,37.2,2.54,12998552.56,5976494.53,2134815.85,1874709.44,3166536.86,26151109.24,6393560.74,1937608.72,51380.36,113397209.47,-4946160.21
27,2023-03-01,NORTH_AMERICA,CASH,91.96,88.54,3.42,13.4,82.4,9.6,5.0,2,36.99,17.5,66992139.21,14760504.02,77.7,99.0,96.94,13.73,11276542.51,58.1,63.5,35.5,56.3,2.04,8892956.14,5020856.16,4134036.3,3676183.62,2188486.86,23912519.08,11636711.65,930288.39,-570119.24,117473189.57,-110607.3
28,2023-03-01,EUROPE,GROWTH,99.0,96.75,8.53,9.8,75.5,9.7,4.5,2,26.19,12.09,55553987.87,15419009.47,79.1,90.8,105.34,17.46,12185647.03,47.6,63.2,40.2,50.3,2.14,5915820.73,9421195.03,2820911.79,4600949.42,2784023.09,25542900.05,13729458.36,1226244.59,317566.73,109288995.46,2800558.81
29,2023-03-01,EUROPE,MARGIN,87.78,85.06,5.4,16.2,93.5,24.1,-0.1,6,43.51,20.75,59562575.09,16258913.76,90.6,92.4,97.97,12.9,15879138.02,45.2,38.9,32.7,40.0,1.58,12247667.72,3457494.39,3891742.03,2957965.17,4162892.66,26717761.96,13859777.48,-1068162.1,-951198.44,104634527.53,3396324.73
30,2023-03-01,EUROPE,CASH,90.7,86.86,6.63,13.9,75.8,30.3,0.4,3,26.33,12.17,62527423.27,18791183.08,73.2,92.9,94.21,14.41,14659606.77,48.0,67.6,42.7,46.2,1.95,11796472.83,4527777.22,7699767.1,3945380.06,1357644.01,29327041.21,14447320.22,453645.56,-665932.11,98696060.45,4577714.18
31,2023-03-01,ASIA_PACIFIC,GROWTH,97.61,95.4,1.9,6.2,76.5,17.8,7.4,3,27.42,12.71,78669544.95,18621276.17,73.9,94.7,99.99,18.67,13717757.74,59.9,85.3,35.8,45.1,2.86,5914868.37,9142226.04,3593600.26,1318059.69,4554992.32,24523746.67,13095160.75,203429.48,-826026.48,106209679.23,2474192.82
32,2023-03-01,ASIA_PACIFIC,MARGIN,95.13,90.97,5.59,16.6,74.0,13.9,3.3,1,32.8,15.4,71250889.3,18370133.28,81.2,96.5,92.63,17.42,10994835.82,48.2,56.1,46.0,36.5,2.58,13786299.86,8581982.15,5950711.01,4202326.92,4469176.8,36990496.74,11974714.62,474445.51,505433.28,107205630.87,1254151.53
33,2023-03-01,ASIA_PACIFIC,CASH,92.08,89.65,-0.28,15.9,85.5,15.2,3.1,1,37.1,17.55,78116854.62,16878857.22,90.5,93.8,97.3,18.78,5710981.03,58.8,37.6,25.0,54.4,2.89,14629920.04,5393105.16,5795731.36,4528112.42,1410038.91,31756907.89,5678370.59,832688.35,-865298.8,92038542.68,-3525483.68
34,2023-03-01,LATAM,GROWTH,95.49,91.25,8.21,6.2,91.6,25.2,3.5,8,40.61,19.3,62591819.51,16385259.48,77.8,94.6,103.62,17.96,7221365.38,47.1,72.3,34.6,68.0,1.9,7732595.27,9656044.94,2906347.35,2529339.2,4774463.68,27598790.44,8975943.98,1935910.59,-181331.99,90968608.09,-120916.83
35,2023-03-01,LATAM,MARGIN,89.78,86.34,2.25,12.9,76.1,30.0,1.9,2,40.93,19.46,61774806.69,14799388.35,79.7,87.9,98.84,11.26,9500033.14,41.2,43.0,37.8,68.0,3.1,12975591.01,5172533.71,4731320.89,846482.16,1289787.55,25015715.32,11000205.48,779927.54,720244.79,91666503.15,1833555.17
36,2023-03-01,LATAM,CASH,94.92,91.97,3.54,17.0,81.3,19.0,3.2,2,33.53,15.77,51559138.51,15412963.35,95.0,92.0,97.66,16.7,10630801.3,36.8,60.1,44.2,44.3,2.82,6045678.4,7455011.75,6238854.36,926344.58,4744848.98,25410738.07,12090605.19,856347.73,603456.17,114838764.95,606728.7
37,2023-04-01,NORTH_AMERICA,GROWTH,99.0,99.0,5.75,14.7,78.6,10.2,8.0,7,34.25,16.26,52165952.27,10306525.02,84.4,94.5,102.76,11.24,5649400.72,35.5,71.5,46.2,54.0,3.32,14963339.16,9823552.14,5901954.12,1517877.0,3720912.97,35927635.38,7576828.89,1473090.02,454338.14,98504918.27,-2273662.94
38,2023-04-01,NORTH_AMERICA,MARGIN,89.68,86.32,4.94,15.4,78.1,11.8,0.6,3,37.98,18.12,76122497.04,14453052.55,80.8,94.2,93.69,14.03,10449322.39,58.0,49.1,27.5,45.7,2.73,14713950.94,4266838.67,7126310.56,2629989.96,1988924.3,30726014.42,10148173.54,371803.41,-672952.25,94369334.78,711240.06
39,2023-04-01,NORTH_AMERICA,CASH,90.22,87.71,7.4,12.8,77.9,15.1,2.0,3,38.34,18.3,56175236.3,11119196.19,79.1,95.4,99.43,20.58,6699606.62,50.9,29.8,63.5,41.3,1.56,9746308.76,8909193.14,6834020.92,2983591.16,4473085.12,32946199.1,7697496.12,124678.11,873211.38,82283474.24,-530851.31
40,2023-04-01,EUROPE,GROWTH,97.94,94.18,13.21,12.9,84.3,19.5,5.3,5,40.27,19.27,63312506.58,18681422.54,87.5,94.9,96.33,10.92,4529808.3,47.4,58.9,42.6,54.2,2.63,7018534.52,7714027.03,7819472.28,1116540.02,3690408.47,27358982.32,6771497.89,1352461.16,889228.44,107705038.09,-3999005.91
41,2023-04-01,EUROPE,MARGIN,93.43,88.76,9.98,10.5,79.7,10.2,1.1,2,42.51,20.39,74535026.49,11202090.55,91.1,97.0,96.66,10.99,11413624.59,70.5,66.8,37.4,30.0,1.55,11675933.86,8654921.59,6573710.81,3790732.07,2742333.26,33437631.59,10444890.98,-701656.68,-267076.93,80230346.42,2421856.34
42,2023-04-01,EUROPE,CASH,99.0,96.63,6.04,13.3,71.5,17.7,1.4,1,29.95,14.11,74389572.16,17181230.76,82.4,91.4,95.18,13.44,16756999.27,49.7,47.6,25.0,54.0,2.72,8988227.81,7061206.58,5201615.28,3069262.23,4059533.05,28379844.95,14555236.96,-1216888.06,-984874.25,80729303.31,6482306.63
43,2023-04-01,ASIA_PACIFIC,GROWTH,93.76,89.81,5.46,10.2,85.8,18.6,3.6,5,39.44,18.85,53206307.69,15673122.2,66.8,99.0,93.88,11.09,7019460.15,41.1,46.4,47.2,47.1,2.84,6811493.5,7767824.98,3088630.09,2754923.33,3836185.05,24259056.93,7565627.84,-65817.41,611985.1,118517075.01,-4286079.66
44,2023-04-01,ASIA_PACIFIC,MARGIN,95.48,91.19,1.09,12.7,94.7,30.9,3.2,5,41.93,20.1,56502194.0,10957145.56,71.8,94.9,97.43,13.69,4714614.89,31.8,61.8,31.2,42.9,2.21,9517676.79,7106259.24,3008085.25,3559219.06,4451188.31,27642428.64,5236385.86,428376.14,93394.83,105678860.02,-5331500.14
45,2023-04-01,ASIA_PACIFIC,CASH,92.83,87.55,5.49,11.0,93.9,20.7,-0.8,2,31.88,15.08,70084608.66,19941393.61,90.7,93.1,106.67,18.74,10765378.63,27.9,48.6,28.7,50.7,3.18,13800790.88,7556141.58,5197746.72,1991963.91,2332007.65,30878650.74,11618391.9,922602.04,-69588.78,102311336.69,1387258.23
46,2023-04-01,LATAM,GROWTH,99.0,95.43,9.32,7.5,81.2,10.0,3.2,8,46.33,22.3,71262340.93,10361603.81,95.0,92.7,105.93,15.22,9415452.44,53.7,62.2,35.9,47.6,2.31,5891244.32,8286892.94,2766280.9,3898070.03,4128112.35,24970600.54,8031283.56,-559454.37,-824714.51,90524502.8,-1021166.72
47,2023-04-01,LATAM,MARGIN,93.34,89.6,4.08,10.0,71.7,18.3,3.6,4,36.24,17.25,64611857.56,16062529.38,80.3,91.6,102.8,16.12,12840507.65,35.2,43.4,43.3,43.1,3.49,11409720.77,8757363.95,2795148.04,4034633.49,4691028.76,31687895.0,12648098.01,10264.31,-202673.94,86993545.09,3948743.5
48,2023-04-01,LATAM,CASH,92.54,87.28,7.94,14.5,80.7,29.4,-2.1,5,36.48,17.37,53031374.33,16921613.42,76.2,92.3,87.14,17.03,3008190.03,34.5,59.7,28.2,51.8,1.52,14836789.25,4674260.73,2853496.21,1220953.63,2213100.59,25798600.42,5622917.98,1986787.42,627940.54,100376885.13,-4414770.53
49,2023-05-01,NORTH_AMERICA,GROWTH,93.02,92.08,5.24,13.1,87.2,10.0,0.8,3,33.85,16.42,72120712.32,14760181.29,77.3,96.8,107.18,8.17,8351062.69,60.1,58.3,46.4,43.6,2.54,13443570.83,3686578.07,4929446.82,1137658.16,2298703.71,25495957.58,8758882.85,-162212.93,570033.09,95779051.14,-819022.26
50,2023-05-01,NORTH_AMERICA,MARGIN,91.51,87.52,1.27,15.0,74.6,23.8,5.6,1,42.3,20.65,52162530.08,10712567.28,83.8,97.0,96.34,14.02,4464548.5,33.8,73.0,37.4,47.5,2.73,10122219.21,7761594.45,2250037.4,925574.05,3865293.55,24924718.67,5121084.75,950033.44,-293497.18,118260055.93,-6704920.84
51,2023-05-01,NORTH_AMERICA,CASH,93.93,90.96,2.12,7.1,81.0,20.9,2.4,1,41.12,20.06,67472679.75,17480731.79,79.7,93.5,93.42,16.3,14928779.88,49.1,58.6,42.1,58.4,2.42,14684887.78,8590999.34,3756932.22,3834903.57,3407526.36,34275249.27,13117697.88,-1487617.01,-323464.99,106259144.29,2491783.45
52,2023-05-01,EUROPE,GROWTH,93.56,90.59,2.77,11.5,83.6,21.6,2.7,7,36.45,17.73,78121641.99,10431737.36,95.0,93.6,94.0,16.25,5108657.86,45.9,44.8,35.4,55.9,2.61,12764474.46,7593132.86,3064572.62,2421337.49,4938678.96,30782196.39,6648148.16,903919.64,635570.66,85269150.94,-1878766.94
53,2023-05-01,EUROPE,MARGIN,93.16,89.05,7.42,11.9,94.9,13.9,-4.3,5,47.23,23.12,72372013.48,12024805.6,87.3,92.3,101.03,14.51,15975232.24,39.6,81.6,37.6,51.3,2.62,12837917.84,6879585.6,2031377.68,3123219.97,1141245.42,26013346.51,14580734.8,-692273.53,-702223.9,94717630.05,5108971.8
54,2023-05-01,EUROPE,CASH,89.94,85.0,7.65,11.7,80.9,13.6,1.8,8,45.31,22.15,52311748.37,10585509.29,77.0,97.4,98.6,21.68,6934429.52,52.0,31.8,30.0,53.5,2.22,11764679.37,8634923.0,3618924.32,3331410.58,2993022.73,30342960.0,8342383.19,830723.74,577229.93,111395879.08,-2797204.72
55,2023-05-01,ASIA_PACIFIC,GROWTH,96.42,93.28,-1.36,9.5,88.2,15.0,3.4,5,25.16,12.08,74079299.29,14581868.87,77.2,93.4,95.74,15.02,11051404.05,39.7,52.3,42.9,59.1,2.4,7592967.59,6007597.69,7236381.5,3386284.09,1744405.67,25967636.54,9829688.72,-1677593.94,455878.61,85339198.9,1295768.83
56,2023-05-01,ASIA_PACIFIC,MARGIN,88.59,85.0,3.66,15.4,75.0,11.7,-2.0,3,37.37,18.18,60420299.79,18998333.46,95.0,92.7,97.42,16.01,3244319.86,54.3,49.6,48.1,76.6,1.73,5626532.03,9345062.17,2835472.23,2380367.22,2644382.41,22831816.06,5218233.97,1853577.74,120336.37,106551587.45,-5436924.78
57,2023-05-01,ASIA_PACIFIC,CASH,93.29,89.92,3.12,13.2,82.8,17.1,6.1,1,38.47,18.73,78370944.41,18499753.71,72.8,91.6,97.71,18.58,11741214.27,30.5,56.5,53.0,53.2,3.26,10435382.17,3572077.42,4749803.85,2225262.93,1663098.16,22645624.54,11690223.37,-352937.83,301946.93,98491822.44,1841041.13
58,2023-05-01,LATAM,GROWTH,95.24,91.82,10.7,10.3,77.2,10.8,3.1,7,32.2,15.6,63917941.3,19092202.06,88.9,96.9,103.41,15.58,11651562.97,56.3,49.9,37.9,54.8,3.47,9512393.44,9894927.59,6632074.86,738294.12,1260818.37,28038508.38,10387017.98,-1578105.2,313560.21,99912500.32,395767.95
59,2023-05-01,LATAM,MARGIN,90.0,87.42,1.68,12.2,70.3,23.9,9.8,3,37.98,18.49,65156203.21,19671266.15,80.7,93.1,100.97,13.18,8236587.25,61.2,42.9,49.1,63.2,2.42,9403234.18,7307086.18,2500784.51,3517853.2,4214414.14,26943372.21,9177609.79,671680.0,269342.55,119364412.76,-2758831.48
60,2023-05-01,LATAM,CASH,91.65,89.86,9.81,16.0,81.8,15.8,2.1,2,34.54,16.77,53019124.36,12398741.13,79.1,92.6,101.13,11.33,6120663.31,42.8,51.9,44.7,45.3,2.06,13282492.52,5346456.33,3042569.56,2964045.57,4303912.85,28939476.83,6419719.9,-198596.08,497652.67,93917656.46,-2972045.75
61,2023-06-01,NORTH_AMERICA,GROWTH,99.0,97.25,9.32,15.7,72.8,9.5,-4.8,6,38.06,19.03,76136134.47,17660647.77,73.7,93.7,101.81,8.25,13028935.94,49.9,63.5,36.5,55.1,3.01,7126443.76,3232325.48,3823678.41,2132906.98,4753219.27,21068573.9,12884473.43,-958852.57,814390.06,106599396.14,2224533.82
62,2023-06-01,NORTH_AMERICA,MARGIN,89.22,86.17,2.1,15.9,92.3,26.6,4.2,0,43.44,21.72,52896034.11,12418938.28,72.8,94.2,105.96,14.48,5722264.35,38.7,57.9,47.8,55.0,3.26,7815211.98,9109276.88,2675482.34,2259214.94,3162793.91,25021980.05,5124040.36,-794938.96,196714.97,98750718.62,-4751031.5
63,2023-06-01,NORTH_AMERICA,CASH,92.96,90.27,4.56,10.5,82.2,20.1,2.4,4,47.44,23.72,68212687.36,16313075.53,72.1,90.0,97.09,12.63,11942510.19,39.6,49.8,34.5,35.9,2.72,9345959.61,8417157.59,5611540.59,2731308.22,2773520.06,28879486.07,10916971.62,-1050266.13,24727.56,108105350.92,106436.53
64,2023-06-01,EUROPE,GROWTH,94.75,92.59,9.31,10.6,72.8,14.2,2.3,6,28.53,14.26,53240772.62,13388606.49,60.7,91.9,92.58,12.05,13388208.25,30.0,36.0,42.1,55.1,2.72,10165726.28,3038540.59,2045984.2,1047672.02,1146885.45,17444808.55,13025856.8,50670.9,-413022.35,102881945.73,2737662.22
65,2023-06-01,EUROPE,MARGIN,92.76,90.15,5.81,14.3,87.0,23.9,-3.2,0,36.29,18.14,53630750.01,14189477.9,83.7,94.7,104.92,16.49,14481517.84,50.9,47.7,42.9,38.6,1.52,11865899.13,3801413.47,4303033.3,1640591.27,2476212.09,24087149.26,12511780.48,-1679279.94,-290457.42,82840306.58,4227749.82
66,2023-06-01,EUROPE,CASH,91.33,88.13,8.06,16.0,81.2,14.6,3.6,5,25.51,12.76,60295020.6,17291734.88,81.9,98.8,104.05,16.12,10893083.02,30.1,72.8,38.0,37.9,1.79,9860004.94,7040399.21,2262434.43,807508.24,3234569.59,23204916.4,11522916.49,769971.31,-140137.85,113824174.52,140499.03
67,2023-06-01,ASIA_PACIFIC,GROWTH,94.08,93.47,7.16,6.6,70.7,20.7,2.0,3,36.9,18.45,68173377.48,13645937.28,77.3,92.9,98.86,17.99,6986370.59,64.0,61.7,37.6,57.0,2.71,8406041.67,3501983.22,4457773.37,1278043.74,3708482.56,21352324.55,7178925.54,-183993.52,376548.47,119521438.65,-4773218.32
68,2023-06-01,ASIA_PACIFIC,MARGIN,89.0,86.83,3.88,7.1,84.5,21.7,1.5,6,31.3,15.65,72857054.38,18336499.62,69.1,90.3,102.63,11.6,10977826.24,43.3,53.7,61.2,35.0,1.96,8403871.04,6789853.25,2924870.26,1884278.71,3166819.25,23169692.52,9404413.5,-962660.41,-610752.33,92093329.97,195080.51
69,2023-06-01,ASIA_PACIFIC,CASH,91.8,90.08,2.58,11.0,89.0,19.2,-5.3,7,42.85,21.42,63880268.15,19809873.78,87.3,93.4,99.47,16.97,9728488.46,50.0,83.0,41.5,69.6,2.95,12942106.63,4930372.98,7262543.49,2860105.23,1595183.88,29590312.2,9834074.36,354926.09,-249340.18,114541900.9,-1620115.73
70,2023-06-01,LATAM,GROWTH,94.28,92.79,9.45,11.3,89.2,15.0,5.6,4,29.14,14.57,78723440.57,10088632.85,83.7,91.5,100.03,15.28,14075092.57,31.6,35.4,38.5,44.5,1.72,7993955.88,5511008.68,6826623.25,1196899.68,1842819.86,23371307.34,14978208.56,1313877.2,-410761.21,107072851.95,4270923.36
71,2023-06-01,LATAM,MARGIN,84.32,85.0,4.46,14.9,81.9,21.2,-1.7,4,40.07,20.03,58858714.82,12323843.23,78.1,97.0,111.09,16.06,6282927.39,35.1,47.2,41.5,38.9,2.93,12945155.44,7949605.34,2301356.07,682254.59,2611493.13,26489864.57,7810044.99,1716912.21,-189794.61,112139309.73,-3403885.98
