BRIDGE_ID,PERFORMANCE_MONTH,REGION,SCENARIO_ID,PREDICTED_FCF_USD,PREDICTED_ROCE_PCT,PREDICTED_SAFETY_STOCK_USD,PREDICTED_PIPELINE_STOCK_USD,LEAD_TIME_IMPACT_FCF,FORECAST_ERROR_IMPACT_SAFETY,BATCH_SIZE_IMPACT_CYCLE,FCF_LOWER_BOUND,FCF_UPPER_BOUND,ROCE_LOWER_BOUND,ROCE_UPPER_BOUND,MODEL_SOURCE
12,2023-01-01,NORTH_AMERICA,12,11730385.73,21.51,5770052.28,5706387.66,-100000,368000.0,688374.2,10029337.77,13569104.05,19.41,23.73,XGBOOST
13,2023-01-01,EUROPE,1,5750955.77,12.64,5843196.83,2839279.87,100000,400000.0,1290943.89,4809196.8,6506560.37,11.29,13.79,XGBOOST
14,2023-01-01,EUROPE,2,5054911.44,12.39,6627947.49,3114426.07,-150000,400000.0,1422176.03,4404211.8,5958639.5,11.29,13.79,PROPHET
15,2023-01-01,EUROPE,3,5016206.93,9.61,5833530.13,3644463.47,-400000,400000.0,1166290.48,4201719.31,5684679.06,8.59,10.49,PROPHET
16,2023-01-01,EUROPE,4,5318705.77,12.56,7079313.35,2802900.88,100000,400000.0,1142129.61,4505458.05,6095619.72,11.29,13.79,XGBOOST
17,2023-01-01,EUROPE,5,9858401.39,15.45,5139159.95,5622508.73,-150000,414000.0,1389720.66,8634981.38,11682621.87,14.11,17.25,XGBOOST
18,2023-01-01,EUROPE,6,9234873.02,15.57,6318360.77,6566985.08,-400000,414000.0,1120592.42,7964303.22,10775233.76,14.11,17.25,XGBOOST
19,2023-01-01,EUROPE,7,9033426.63,12.72,5330083.24,7580805.39,-650000,414000.0,1019198.81,7628964.13,10321539.71,11.41,13.95,XGBOOST
20,2023-01-01,EUROPE,8,9493344.92,15.62,6637859.09,5749212.92,-150000,414000.0,1361966.54,8131972.76,11002080.79,14.11,17.25,PROPHET
21,2023-01-01,EUROPE,9,4529263.77,25.62,4723222.1,5838110.32,-100000,492000.0,930071.35,3772093.67,5103420.85,22.82,27.9,PROPHET
22,2023-01-01,EUROPE,10,4191655.84,25.6,5823167.17,6797819.12,-350000,492000.0,791529.2,3497759.58,4732262.97,22.82,27.9,PROPHET
23,2023-01-01,EUROPE,11,3979832.2,22.43,4658457.37,7677411.02,-600000,492000.0,782277.15,3360592.54,4546684.03,20.12,24.6,PROPHET
24,2023-01-01,EUROPE,12,4277559.62,25.61,6105762.83,5831766.16,-100000,492000.0,775593.21,3566343.11,4825052.44,22.82,27.9,XGBOOST
25,2023-01-01,ASIA_PACIFIC,1,6885450.13,14.0,3543902.28,6266683.88,100000,316000.0,901702.37,5759045.15,7791649.32,12.5,15.28,XGBOOST
26,2023-01-01,ASIA_PACIFIC,2,6373095.42,14.08,4233064.07,7238559.87,-150000,316000.0,661968.24,5274072.93,7135510.43,12.5,15.28,XGBOOST
27,2023-01-01,ASIA_PACIFIC,3,5962299.63,10.93,3512438.36,7985630.84,-400000,316000.0,865397.84,5031586.82,6807440.99,9.8,11.98,XGBOOST
28,2023-01-01,ASIA_PACIFIC,4,6542682.18,14.1,4411435.23,6356160.76,100000,316000.0,787872.03,5395315.98,7299545.15,12.5,15.28,XGBOOST
29,2023-01-01,ASIA_PACIFIC,5,14295267.54,19.57,8938584.18,5076877.58,-150000,306000.0,1265556.8,12129860.03,16410987.1,17.6,21.51,XGBOOST
30,2023-01-01,ASIA_PACIFIC,6,13083330.21,19.49,10736991.38,5793408.68,-400000,306000.0,1589941.46,11187734.98,15136347.32,17.6,21.51,PROPHET
31,2023-01-01,ASIA_PACIFIC,7,12980511.27,16.79,9186796.12,6783211.94,-650000,306000.0,1218771.31,10716672.45,14499027.44,14.9,18.21,PROPHET
32,2023-01-01,ASIA_PACIFIC,8,13299834.67,19.45,11154389.88,5015521.96,-150000,306000.0,1252102.33,11423266.24,15455007.27,17.6,21.51,PROPHET
33,2023-01-01,ASIA_PACIFIC,9,3653904.02,29.71,8509307.73,4672019.58,-100000,312000.0,1375023.21,3049979.27,4126442.54,26.5,32.38,PROPHET
34,2023-01-01,ASIA_PACIFIC,10,3349126.85,29.54,10390383.54,5387886.26,-350000,312000.0,1418616.61,2828162.59,3826337.62,26.5,32.38,XGBOOST
35,2023-01-01,ASIA_PACIFIC,11,3151883.67,26.25,8238988.27,6031468.24,-600000,312000.0,1092660.8,2717254.26,3676285.17,23.8,29.08,XGBOOST
36,2023-01-01,ASIA_PACIFIC,12,3370258.49,29.34,10743193.85,4557955.46,-100000,312000.0,1382057.39,2883616.76,3901363.85,26.5,32.38,XGBOOST
37,2023-01-01,LATAM,1,14984954.39,8.27,8042868.21,6101713.96,100000,372000.0,868822.09,12735908.74,17230935.36,7.44,9.1,PROPHET
38,2023-01-01,LATAM,2,13657281.69,8.25,9459644.47,6939960.3,-150000,372000.0,761883.63,11663411.16,15779909.22,7.44,9.1,XGBOOST
39,2023-01-01,LATAM,3,13048552.15,5.26,8016104.42,7818955.24,-400000,372000.0,905258.12,11127162.37,15054396.15,4.74,5.8,XGBOOST
40,2023-01-01,LATAM,4,14150534.71,8.3,9949541.32,6150393.02,100000,372000.0,849492.95,11931535.56,16142665.76,7.44,9.1,XGBOOST
41,2023-01-01,LATAM,5,10225918.67,20.06,3875321.05,6254106.7,-150000,490000.0,714729.7,9038902.59,12229103.5,18.4,22.5,PROPHET
42,2023-01-01,LATAM,6,9802860.07,20.44,4875801.43,7475275.71,-400000,490000.0,816307.81,8336851.9,11279270.22,18.4,22.5,XGBOOST
43,2023-01-01,LATAM,7,9358945.1,17.42,4014468.78,8422267.61,-650000,490000.0,670952.78,7985826.56,10804353.58,15.7,19.2,XGBOOST
44,2023-01-01,LATAM,8,10074943.75,20.51,5121192.66,6542911.91,-150000,490000.0,933952.75,8512364.57,11516728.54,18.4,22.5,PROPHET
45,2023-01-01,LATAM,9,10592270.17,25.3,3163363.93,4572035.03,-100000,310000.0,1154279.19,8802241.59,11908915.09,22.51,27.51,XGBOOST
46,2023-01-01,LATAM,10,9746853.29,25.2,3877818.03,5293272.25,-350000,310000.0,1221414.43,8162078.57,11042812.18,22.51,27.51,XGBOOST
47,2023-01-01,LATAM,11,9334164.34,22.14,3128975.49,6029777.52,-600000,310000.0,1078270.24,7841997.05,10609760.72,19.81,24.21,XGBOOST
48,2023-01-01,LATAM,12,10219651.75,25.56,4177623.63,4665690.67,-100000,310000.0,1197168.03,8322119.32,11259337.91,22.51,27.51,PROPHET
49,2023-02-01,NORTH_AMERICA,1,7450581.41,11.97,4223298.36,2846076.38,100000,370000.0,595815.13,6320397.47,8551125.99,10.76,13.16,PROPHET
50,2023-02-01,NORTH_AMERICA,2,6741023.04,11.9,4931084.34,3213501.43,-150000,370000.0,558994.24,5788153.47,7831031.17,10.76,13.16,PROPHET
51,2023-02-01,NORTH_AMERICA,3,6358482.33,8.86,4125347.92,3574372.73,-400000,370000.0,598790.99,5522031.47,7470983.76,8.06,9.86,XGBOOST
52,2023-02-01,NORTH_AMERICA,4,7032116.85,12.02,5221825.56,2867319.34,100000,370000.0,653485.01,5921214.47,8011054.87,10.76,13.16,PROPHET
53,2023-02-01,NORTH_AMERICA,5,11881246.45,23.46,8132316.23,6012698.75,-150000,250000.0,947048.1,10259779.61,13880878.29,21.28,26.02,XGBOOST
54,2023-02-01,NORTH_AMERICA,6,11061118.56,23.57,9936630.85,6979397.74,-400000,250000.0,731146.44,9462903.52,12802751.82,21.28,26.02,XGBOOST
55,2023-02-01,NORTH_AMERICA,7,10712590.04,20.7,8299321.17,7977027.9,-650000,250000.0,819128.8,9064465.48,12263688.59,18.58,22.72,PROPHET
56,2023-02-01,NORTH_AMERICA,8,11664374.13,23.96,10708701.82,6268077.72,-150000,250000.0,677769.8,9662122.54,13072283.44,21.28,26.02,XGBOOST
57,2023-02-01,NORTH_AMERICA,9,13848840.81,25.22,4705398.76,2425754.04,-100000,424000.0,1046134.11,11710646.78,15843816.23,22.64,27.66,XGBOOST
58,2023-02-01,NORTH_AMERICA,10,12975010.7,25.35,5872913.73,2859435.91,-350000,424000.0,1219187.21,10858963.37,14691538.68,22.64,27.66,XGBOOST
59,2023-02-01,NORTH_AMERICA,11,12335753.08,22.21,4704519.66,3233734.45,-600000,424000.0,1181652.08,10433121.67,14115399.91,19.93,24.36,PROPHET
60,2023-02-01,NORTH_AMERICA,12,13116001.07,25.24,6099827.58,2429932.05,-100000,424000.0,966791.24,11071884.22,14979608.07,22.64,27.66,XGBOOST
61,2023-02-01,EUROPE,1,8030149.53,11.88,10909825.58,5233994.01,100000,330000.0,769250.5,6785852.17,9180858.82,10.66,13.04,PROPHET
62,2023-02-01,EUROPE,2,7206619.42,11.77,12635161.07,5861887.45,-150000,330000.0,977832.68,6214411.99,8407733.87,10.66,13.04,XGBOOST
63,2023-02-01,EUROPE,3,6808746.43,8.74,10587827.3,6530805.23,-400000,330000.0,1040539.23,5928691.9,8021171.39,7.96,9.74,PROPHET
64,2023-02-01,EUROPE,4,7577352.74,11.93,13486099.58,5271821.44,100000,330000.0,892149.6,6357272.03,8601015.1,10.66,13.04,XGBOOST
65,2023-02-01,EUROPE,5,7762847.54,19.75,8826141.07,7670227.02,-150000,446000.0,618436.12,6473688.47,8758519.7,17.6,21.52,XGBOOST
66,2023-02-01,EUROPE,6,7082554.12,19.64,10568845.86,8725463.84,-400000,446000.0,487205.68,5970877.72,8078246.32,17.6,21.52,XGBOOST
67,2023-02-01,EUROPE,7,6609083.85,16.41,8505246.44,9608765.8,-650000,446000.0,691830.3,5719472.34,7738109.64,14.9,18.22,XGBOOST
68,2023-02-01,EUROPE,8,7055420.41,19.4,10759592.8,7402451.13,-150000,446000.0,672989.68,6096580.41,8248314.67,17.6,21.52,XGBOOST
69,2023-02-01,EUROPE,9,7186671.62,25.66,5517165.38,2269959.68,-100000,372000.0,1328828.15,6107082.8,8262523.79,23.09,28.23,XGBOOST
70,2023-02-01,EUROPE,10,6855948.94,26.03,7011624.71,2724565.29,-350000,372000.0,1132017.65,5662931.33,7661612.97,23.09,28.23,XGBOOST
71,2023-02-01,EUROPE,11,6263910.77,22.42,5397595.98,2961019.39,-600000,372000.0,1516301.85,5440855.59,7361157.56,20.39,24.93,XGBOOST
72,2023-02-01,EUROPE,12,6858452.72,25.78,7206882.74,2291267.72,-100000,372000.0,1503103.73,5773969.19,7811840.67,23.09,28.23,XGBOOST
73,2023-02-01,ASIA_PACIFIC,1,7100714.63,12.38,5507477.19,7013564.74,100000,294000.0,1270341.11,5979017.51,8089258.98,11.09,13.55,XGBOOST
74,2023-02-01,ASIA_PACIFIC,2,6432406.79,12.31,6438418.02,7928783.38,-150000,294000.0,983504.22,5475521.3,7408058.23,11.09,13.55,XGBOOST
75,2023-02-01,ASIA_PACIFIC,3,6090733.34,9.28,5407116.75,8853119.36,-400000,294000.0,929942.38,5223773.19,7067457.85,8.39,10.25,XGBOOST
76,2023-02-01,ASIA_PACIFIC,4,6702748.14,12.43,6810487.98,7066807.32,100000,294000.0,1258568.29,5601395.35,7578358.42,11.09,13.55,XGBOOST
77,2023-02-01,ASIA_PACIFIC,5,7821217.59,18.13,3234003.46,6332764.2,-150000,328000.0,712571.76,6767668.03,9156256.75,16.46,20.12,XGBOOST
78,2023-02-01,ASIA_PACIFIC,6,7366135.32,18.32,3997547.75,7436526.02,-400000,328000.0,583158.4,6242023.91,8445091.17,16.46,20.12,XGBOOST
79,2023-02-01,ASIA_PACIFIC,7,7084691.19,15.34,3315758.33,8440711.53,-650000,328000.0,734918.52,5979201.85,8089508.39,13.76,16.82,XGBOOST
80,2023-02-01,ASIA_PACIFIC,8,7582255.78,18.39,4205209.86,6519028.36,-150000,328000.0,642945.36,6373434.94,8622882.57,16.46,20.12,PROPHET
81,2023-02-01,ASIA_PACIFIC,9,12930318.92,24.16,5783055.69,6695282.93,-100000,334000.0,1284531.84,10878712.67,14718258.31,21.64,26.44,XGBOOST
82,2023-02-01,ASIA_PACIFIC,10,11989635.56,24.16,7143598.0,7810970.24,-350000,334000.0,1125154.48,10087533.56,13647839.53,21.64,26.44,XGBOOST
83,2023-02-01,ASIA_PACIFIC,11,11532476.22,21.16,5789450.11,8936914.67,-600000,334000.0,1210559.79,9691944.01,13112630.13,18.94,23.14,XGBOOST
84,2023-02-01,ASIA_PACIFIC,12,12375201.94,24.31,7575887.87,6777528.27,-100000,334000.0,1294806.5,10285328.34,13915444.22,21.64,26.44,XGBOOST
85,2023-02-01,LATAM,1,12222156.9,16.38,10430334.25,3018722.44,100000,246000.0,992128.18,10551929.3,14276139.65,14.86,18.16,PROPHET
86,2023-02-01,LATAM,2,11314795.98,16.47,12460977.7,3487533.24,-150000,246000.0,948767.84,9663345.78,13073938.41,14.86,18.16,XGBOOST
87,2023-02-01,LATAM,3,10994808.73,13.6,10739487.65,3996253.13,-400000,246000.0,781341.21,9219054.02,12472837.8,12.16,14.86,PROPHET
88,2023-02-01,LATAM,4,11254872.8,16.24,12582462.49,2967218.43,100000,246000.0,1086143.25,9885491.66,13374488.72,14.86,18.16,XGBOOST
89,2023-02-01,LATAM,5,8868878.7,17.34,7764352.34,4719367.08,-150000,258000.0,938421.96,7528867.78,10186115.24,15.6,19.06,PROPHET
90,2023-02-01,LATAM,6,7993437.62,17.14,9184551.72,5303469.72,-400000,258000.0,888586.19,6944101.35,9394960.65,15.6,19.06,PROPHET
91,2023-02-01,LATAM,7,7832683.25,14.34,7761450.93,6132884.59,-650000,258000.0,860719.62,6651718.14,8999383.36,12.9,15.76,XGBOOST
92,2023-02-01,LATAM,8,8232814.37,17.22,9667361.84,4651883.79,-150000,258000.0,923548.71,7090292.96,9592749.3,15.6,19.06,XGBOOST
93,2023-02-01,LATAM,9,11763081.47,20.96,2821848.88,5745324.16,-100000,228000.0,1190571.69,10420686.78,14098576.23,19.25,23.53,PROPHET
94,2023-02-01,LATAM,10,11410414.28,21.43,3646506.12,7011874.73,-350000,228000.0,1038846.84,9662818.65,13073225.23,19.25,23.53,PROPHET
95,2023-02-01,LATAM,11,11032528.77,18.48,2970669.42,8064433.18,-600000,228000.0,1026060.87,9283884.59,12560549.73,16.55,20.23,PROPHET
96,2023-02-01,LATAM,12,11791622.39,21.58,3871857.06,6091529.36,-100000,228000.0,918505.15,9852285.68,13329562.98,19.25,23.53,PROPHET
97,2023-03-01,NORTH_AMERICA,1,8248081.1,14.41,6582819.4,6531699.13,100000,308000.0,1415458.96,6771764.14,9161798.54,12.74,15.58,PROPHET
98,2023-03-01,NORTH_AMERICA,2,7354988.57,14.22,7575233.77,7268613.07,-150000,308000.0,1572248.2,6201510.32,8390278.66,12.74,15.58,XGBOOST
99,2023-03-01,NORTH_AMERICA,3,7255874.35,11.4,6628179.86,8455766.57,-400000,308000.0,1287440.03,5916383.4,8004518.72,10.04,12.28,PROPHET
100,2023-03-01,NORTH_AMERICA,4,7617734.69,14.31,7964518.82,6439211.51,100000,308000.0,1253584.66,6344073.77,8583158.63,12.74,15.58,XGBOOST
101,2023-03-01,NORTH_AMERICA,5,4576978.39,18.02,5728067.01,2153765.3,-150000,262000.0,1286427.14,3856202.48,5217215.12,16.15,19.73,PROPHET
102,2023-03-01,NORTH_AMERICA,6,4249169.76,18.08,6979449.42,2493073.35,-400000,262000.0,1295496.0,3556691.61,4811994.53,16.15,19.73,XGBOOST
103,2023-03-01,NORTH_AMERICA,7,3987913.53,14.9,5648989.83,2761241.76,-650000,262000.0,1247083.59,3406936.17,4609384.23,13.45,16.43,XGBOOST
104,2023-03-01,NORTH_AMERICA,8,4165813.06,17.72,6992816.57,2081540.1,-150000,262000.0,1370096.13,3631569.33,4913299.68,16.15,19.73,PROPHET
105,2023-03-01,NORTH_AMERICA,9,12761753.51,19.0,4390746.98,3827881.64,-100000,192000.0,890411.24,10543567.25,14264826.28,16.86,20.6,XGBOOST
106,2023-03-01,NORTH_AMERICA,10,11171765.52,18.46,5120504.56,4216084.08,-350000,192000.0,945745.83,9776762.36,13227384.36,16.86,20.6,PROPHET
107,2023-03-01,NORTH_AMERICA,11,11095007.88,15.76,4284718.39,4980593.64,-600000,192000.0,720867.05,9393359.91,12708663.41,14.16,17.3,XGBOOST
108,2023-03-01,NORTH_AMERICA,12,11586822.09,18.62,5456642.52,3675968.94,-100000,192000.0,1045893.54,9968463.58,13486744.84,16.86,20.6,XGBOOST
109,2023-03-01,EUROPE,1,11943570.86,15.71,10692042.36,3055911.66,100000,194000.0,581703.34,9839909.98,13312819.38,13.91,17.01,XGBOOST
110,2023-03-01,EUROPE,2,10339058.58,15.27,11944349.31,3301291.71,-150000,194000.0,696047.14,9011285.98,12191739.85,13.91,17.01,XGBOOST
111,2023-03-01,EUROPE,3,10170926.56,12.5,10421554.68,3829632.55,-400000,194000.0,490111.23,8596973.98,11631200.09,11.21,13.71,XGBOOST
112,2023-03-01,EUROPE,4,10710159.52,15.36,12560215.8,2925069.19,100000,194000.0,673190.89,9218441.98,12472009.74,13.91,17.01,PROPHET
113,2023-03-01,EUROPE,5,16162724.91,14.81,3245902.89,3845868.92,-150000,482000.0,1037703.16,13902185.34,18808838.98,13.41,16.39,XGBOOST
114,2023-03-01,EUROPE,6,15341509.15,15.03,4043680.92,4551551.27,-400000,482000.0,1287936.74,12822403.95,17347958.29,13.41,16.39,XGBOOST
115,2023-03-01,EUROPE,7,14684933.0,12.0,3338018.53,5141514.33,-650000,482000.0,1117984.05,12282513.26,16617517.94,10.71,13.09,PROPHET
116,2023-03-01,EUROPE,8,15596724.37,14.99,4201239.78,3940749.09,-150000,482000.0,1347544.62,13092349.3,17713178.46,13.41,16.39,XGBOOST
117,2023-03-01,EUROPE,9,16118826.45,19.41,3847001.8,6926893.52,-100000,606000.0,1119257.88,13706732.33,18544402.56,17.47,21.35,XGBOOST
118,2023-03-01,EUROPE,10,14987886.36,19.43,4765321.96,8103726.72,-350000,606000.0,1104529.01,12709879.07,17195718.74,17.47,21.35,XGBOOST
119,2023-03-01,EUROPE,11,14303868.67,16.37,3831855.23,9199494.25,-600000,606000.0,1298023.03,12211452.44,16521376.83,14.77,18.05,XGBOOST
120,2023-03-01,EUROPE,12,15581029.88,19.62,5090005.31,7082076.26,-100000,606000.0,992377.74,12959092.38,17532889.7,17.47,21.35,XGBOOST
121,2023-03-01,ASIA_PACIFIC,1,13372126.45,16.89,10319018.26,3871799.02,100000,356000.0,548911.52,11077089.38,14986650.33,15.0,18.34,XGBOOST
122,2023-03-01,ASIA_PACIFIC,2,11939462.62,16.67,11889886.42,4314131.82,-150000,356000.0,565272.54,10144281.85,13724616.62,15.0,18.34,PROPHET
123,2023-03-01,ASIA_PACIFIC,3,11459556.39,13.71,10121647.89,4882813.31,-400000,356000.0,698098.12,9677878.09,13093599.76,12.3,15.04,XGBOOST
124,2023-03-01,ASIA_PACIFIC,4,12177026.57,16.65,12309880.63,3763458.95,100000,356000.0,622678.83,10377483.73,14040125.05,15.0,18.34,XGBOOST
125,2023-03-01,ASIA_PACIFIC,5,11096824.38,19.22,7988844.2,5830980.64,-150000,278000.0,1473765.63,9625978.76,13023383.03,17.48,21.36,XGBOOST
126,2023-03-01,ASIA_PACIFIC,6,10191447.74,19.18,9629616.14,6677136.09,-400000,278000.0,1539421.83,8878329.92,12011858.13,17.48,21.36,XGBOOST
127,2023-03-01,ASIA_PACIFIC,7,10002849.94,16.42,8150886.11,7734029.51,-650000,278000.0,1134644.88,8504505.51,11506095.69,14.78,18.06,XGBOOST
128,2023-03-01,ASIA_PACIFIC,8,10473606.55,19.25,10113573.28,5843924.98,-150000,278000.0,1346386.86,9065242.13,12264739.36,17.48,21.36,XGBOOST
129,2023-03-01,ASIA_PACIFIC,9,6178362.36,23.58,4508455.5,5130039.74,-100000,304000.0,1254071.88,5339767.26,7224391.0,21.4,26.16,XGBOOST
130,2023-03-01,ASIA_PACIFIC,10,5787757.91,23.7,5626361.8,6046401.94,-350000,304000.0,1532172.84,4951420.55,6698980.75,21.4,26.16,PROPHET
131,2023-03-01,ASIA_PACIFIC,11,5624181.8,20.83,4606598.6,6988951.88,-600000,304000.0,1212974.28,4757247.2,6436275.62,18.7,22.86,XGBOOST
132,2023-03-01,ASIA_PACIFIC,12,5879201.3,23.66,5872267.72,5163272.31,-100000,304000.0,1583684.3,5048507.23,6830333.31,21.4,26.16,PROPHET
133,2023-03-01,LATAM,1,6661611.33,15.73,10314028.55,2963283.36,100000,504000.0,870009.63,5831252.54,7889341.68,14.36,17.56,XGBOOST
134,2023-03-01,LATAM,2,6105737.58,15.74,12199504.55,3389442.93,-150000,504000.0,923581.51,5340199.7,7224976.06,14.36,17.56,XGBOOST
135,2023-03-01,LATAM,3,5907610.0,12.87,10469028.18,3867191.61,-400000,504000.0,858982.12,5094673.28,6892793.26,11.66,14.26,XGBOOST
136,2023-03-01,LATAM,4,6399578.63,15.93,12980012.18,3038637.33,100000,504000.0,749821.11,5462962.91,7391067.47,14.36,17.56,XGBOOST
137,2023-03-01,LATAM,5,9781312.65,13.26,4912038.15,4729521.45,-150000,600000.0,1043940.09,8317279.01,11252789.25,11.93,14.59,XGBOOST
138,2023-03-01,LATAM,6,8844074.3,13.13,5829144.58,5331923.4,-400000,600000.0,1067270.01,7671276.76,10378786.21,11.93,14.59,PROPHET
139,2023-03-01,LATAM,7,8700828.39,10.29,4945623.2,6190416.17,-650000,600000.0,1425262.21,7348275.63,9941784.68,9.23,11.29,XGBOOST
140,2023-03-01,LATAM,8,9062572.95,13.15,6104347.33,4653042.99,-150000,600000.0,1537437.58,7832777.32,10597286.97,11.93,14.59,XGBOOST
141,2023-03-01,LATAM,9,11855290.67,21.85,6424225.52,5692471.67,-100000,380000.0,537725.81,9939799.22,13447963.64,19.53,23.87,XGBOOST
142,2023-03-01,LATAM,10,10756405.31,21.61,7764949.17,6498230.8,-350000,380000.0,486593.55,9216904.73,12469929.92,19.53,23.87,XGBOOST
143,2023-03-01,LATAM,11,10464878.01,18.74,6365160.39,7520179.16,-600000,380000.0,501500.28,8855457.48,11980913.07,16.83,20.57,XGBOOST
144,2023-03-01,LATAM,12,11058817.79,21.7,8202578.21,5616383.04,-100000,380000.0,718057.93,9397628.35,12714438.35,19.53,23.87,XGBOOST
145,2023-04-01,NORTH_AMERICA,1,5522694.43,9.37,11119525.82,6376908.07,100000,204000.0,1469125.22,4561891.08,6171970.29,8.32,10.16,XGBOOST
146,2023-04-01,NORTH_AMERICA,2,5009274.54,9.33,13015627.4,7218222.68,-150000,204000.0,1546798.86,4177731.83,5652225.42,8.32,10.16,XGBOOST
147,2023-04-01,NORTH_AMERICA,3,4894362.43,6.38,11279163.51,8316589.21,-400000,204000.0,1363089.08,3985652.21,5392352.99,5.62,6.86,PROPHET
148,2023-04-01,NORTH_AMERICA,4,4946684.7,9.17,13047405.66,6096870.5,100000,204000.0,1474606.19,4273771.64,5782161.64,8.32,10.16,XGBOOST
149,2023-04-01,NORTH_AMERICA,5,10599394.17,15.91,3991953.9,7018114.26,-150000,236000.0,1750603.97,9148381.75,12377222.37,14.43,17.63,XGBOOST
150,2023-04-01,NORTH_AMERICA,6,9956715.02,16.05,4921623.71,8219907.46,-400000,236000.0,1588024.76,8437827.83,11415884.71,14.43,17.63,XGBOOST
151,2023-04-01,NORTH_AMERICA,7,9689632.76,13.15,4130547.54,9440302.13,-650000,236000.0,1580120.11,8082550.87,10935215.88,11.73,14.33,PROPHET
152,2023-04-01,NORTH_AMERICA,8,10018894.62,15.94,5061129.09,7044086.67,-150000,236000.0,1713249.59,8615466.31,11656219.13,14.43,17.63,XGBOOST
153,2023-04-01,NORTH_AMERICA,9,7174976.33,25.24,7372856.55,5988213.8,-100000,302000.0,1143331.09,6264132.19,8475002.37,23.02,28.14,XGBOOST
154,2023-04-01,NORTH_AMERICA,10,7083907.84,26.05,9697306.01,7438562.74,-350000,302000.0,797333.31,5808558.94,7858638.57,23.02,28.14,PROPHET
155,2023-04-01,NORTH_AMERICA,11,6720489.47,22.85,7751447.79,8394272.75,-600000,302000.0,1164596.62,5580772.31,7550456.66,20.32,24.84,PROPHET
156,2023-04-01,NORTH_AMERICA,12,6902210.4,25.46,9708152.97,6092904.42,-100000,302000.0,1011327.96,5922452.25,8012729.52,23.02,28.14,XGBOOST
157,2023-04-01,EUROPE,1,4293459.86,8.91,8465991.34,8191637.43,100000,390000.0,677939.76,3657820.2,4948815.57,8.03,9.81,PROPHET
158,2023-04-01,EUROPE,2,4038496.25,9.03,10276497.4,9615664.42,-150000,390000.0,577309.7,3349793.24,4532073.2,8.03,9.81,XGBOOST
159,2023-04-01,EUROPE,3,3760135.19,5.92,8486319.63,10557394.66,-400000,390000.0,777369.35,3195779.76,4323702.02,5.33,6.51,XGBOOST
160,2023-04-01,EUROPE,4,4035317.46,8.92,10423721.55,8218160.53,100000,390000.0,800013.94,3426799.98,4636258.8,8.03,9.81,PROPHET
161,2023-04-01,EUROPE,5,11505013.7,12.85,8046612.26,6433346.25,-150000,204000.0,1379652.18,9992628.33,13519438.33,11.69,14.29,XGBOOST
162,2023-04-01,EUROPE,6,10812067.11,12.97,9924817.31,7538240.32,-400000,204000.0,1040859.44,9216501.86,12469384.86,11.69,14.29,XGBOOST
163,2023-04-01,EUROPE,7,10067719.96,9.84,7969900.39,8283618.66,-650000,204000.0,987110.35,8828438.62,11944358.13,8.99,10.99,XGBOOST
